position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,amira-shirt,10237807329613,Amira Πουκάμισο,4.13,Hero,no,2838
2,amari-dress,8669619781965,Amari Φόρεμα,2.87,Strong,no,1567
3,aeris-jumpsuit,10390642590029,Aeris Ολόσωμη φόρμα,2.68,Strong,no,1881
4,ember-skirt,10387831095629,Ember Φούστα,2.21,Strong,no,2068
5,harmonia-dress-1,10524729114957,Harmonia Φόρεμα,1.88,Strong,no,1766
6,lynn-ann-top,8669577445709,Lynn Ann Τοπ,1.77,Strong,no,1443
7,aurielle-dress,10525038674253,Aurielle Φόρεμα,1.65,Strong,no,1243
8,juliet-top,8151987355929,JULIET TOP,1.24,New,no,22
9,selira-dress,10338865250637,Selira Φόρεμα,1.23,Average,no,1353
10,perla-kimono-dress,6552814256227,Perla Kimono Dress,1.22,New,no,572
11,sage-bodysuit,8668340683085,Sage Κορμάκι,1.18,Average,no,608
12,ferina-dress,10338806268237,Ferina Φόρεμα,1.16,Average,no,1179
13,anwen-dress,10074215547213,Anwen Φόρεμα,1.13,Average,no,785
14,obsidian-dress,10388244529485,Obsidian Φόρεμα,1.03,Average,no,1083
15,floridita-skirt,4505870073955,FLORIDITA SKIRT,0.89,New,no,118
16,dolon-dress,9101691617613,Dolon Dress,0.89,New,no,86
17,arina-dress,6728686010467,ARINA DRESS,0.83,New,no,106
18,jessica-top,8155052146969,JESSICA TOP,0.82,New,no,117
19,luxe-dress,10388197507405,Luxe Φόρεμα,0.52,Average,no,391
20,lissara-skirt,10524680028493,Lissara Φούστα,0.47,Low,no,470
21,elaris-jacket,10361324011853,Elaris Ζακέτα,0.44,Low,no,415
22,veon-top,10355601867085,Veon Τοπ,0.27,Low,no,206
23,florelle-shirt,10524697297229,Florelle Πουκάμισο,0.22,Low,no,184
24,louisa-skirt,10007597187405,Louisa Skirt,0.11,Low,no,56
25,odette-yellow-top,10137725534541,Odette Yellow Top,0.11,Low,no,49
26,yvet-top,6730743185507,Yvet Τοπ,0.10,Low,no,34
27,cessna-top,10006232727885,Cessna Top,0.06,Low,no,25
28,penny-top,6730744660067,Penny Τοπ,0.06,Low,no,26
29,indra-dress-copy,10298905690445,Indra Brown Dress,5.12,Hero,yes,4301
30,ayla-jumpsuit,10248692302157,Ayla Jumpsuit,4.74,Hero,yes,5121
31,elva-kimono,10243863937357,Elva Κιμονό φόρεμα,4.24,Hero,yes,3166
32,tata-kimono-dress,9845707440461,Tata  Φόρεμα,3.71,Hero,yes,1894
33,alba-pants,10248741912909,Alba Παντελόνα,2.62,Strong,yes,2714
34,luvora-dress,10525019046221,Luvora Φόρεμα,1.64,Strong,yes,1225
35,nyra-jumpsuit,10390639116621,Nyra Jumpsuit,1.23,Average,yes,1263
36,isebel-dress,10361722929485,Isebel Φόρεμα,1.20,Average,yes,805
37,tiana-top,8585609249101,TIANA TOP,1.16,New,yes,31
38,cassidy-skirt,8669604151629,Cassidy Φούστα,1.10,Average,yes,950
39,bindi-dress,8935675756877,Bindi Dress,0.95,New,yes,540
40,auralis-dress,10525164896589,Auralis Πουκάμισο,0.92,Average,yes,571
41,lottie-skirt,10222371340621,Lottie Skirt,0.91,New,yes,79
42,ivoria-dress,10332606890317,Ivoria Φόρεμα,0.87,Average,yes,625
43,gloria-dress,8171401183513,Gloria Dress,0.80,New,yes,124
44,lina-skirt,10238244094285,Lina Φούστα,0.77,Average,yes,601
45,angelica-dress,6552849907811,Angelica Dress,0.75,New,yes,192
46,amara-skirt,10238252286285,Amara Φούστα,0.74,Average,yes,669
47,vionae-dress,10336362463565,Vionae Κιμονό φόρεμα,0.65,Average,yes,775
48,iliana-dress,10248477278541,Iliana Dress,0.57,Average,yes,295
49,carmine-dress,10074213515597,Carmine Φόρεμα,0.55,Average,yes,525
50,lyra-top,10237854777677,Lyra Τοπ,0.52,Average,yes,437
51,ethera-dress,10525047095629,Ethera Φόρεμα,0.50,Average,yes,522
52,vanetta-skirt,10074164396365,Vanetta Φούστα,0.42,Low,yes,134
53,lumina-dress,10523384611149,Lumina Dress,0.38,Low,yes,225
54,lilliana-skirt,8162775630105,LILLIANA SKIRT,0.35,Low,yes,182
55,odile-top,10007641030989,Odile Top,0.34,Low,yes,295
56,silvara-dress,10523483111757,Silvara Φόρεμα,0.33,Low,yes,378
57,lissara-dress,10525170172237,Lissara Πουκάμισο,0.26,Low,yes,212
58,venira-top,10336546980173,Venira Τοπ,0.22,Low,yes,185
59,odette-orange-skirt,10074174619981,Odette Orange Skirt,0.21,Low,yes,82
60,copy-copy-42,10307851714893,Sylairra Φόρεμα,0.18,Low,yes,199
61,odile-skirt,10007663804749,Odile Skirt,0.15,Low,yes,92
62,reina-dress,6552844959843,Reina Dress,0.14,Low,yes,69
63,opaline-dress,10524577136973,Opaline Φόρεμα,0.12,Low,yes,141
64,janah-skirt,6728673165411,Janah Skirt,0.03,Low,yes,15
