position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elodie-dress,10566138757453,Elodie Φόρεμα,11.58,Hero,no,38367
2,victoria,10697115926861,Victoria Φόρεμα,4.13,Hero,no,17323
3,sylvia,10714453999949,Sylvia Κιμονό,4.02,Hero,no,12882
4,sophia,10642032361805,Sophia Φόρεμα,2.92,Strong,no,12047
5,nerida,10710349381965,Nerida Φόρεμα,2.85,Strong,no,8969
6,greta-dress,10566155960653,Greta Φόρεμα,2.82,Strong,no,9251
7,rosalie-2,10786210480461,Rosalie Φόρεμα,2.18,Strong,no,4660
8,maeva-dress,10566112903501,Maeva Φόρεμα,1.72,Strong,no,3089
9,zoe-pants,10564703289677,Zoe Παντελόνα,1.58,Strong,no,5365
10,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.51,Strong,no,3229
11,nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,1.44,Average,no,4575
12,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.37,Average,no,5395
13,auralis-kimono,10563066659149,Auralis Κιμονό,1.34,Average,no,4655
14,ione-2,10710363537741,Ione Φόρεμα,1.23,Average,no,5338
15,calypso-skirt-blue,10559198298445,Calypso Skirt Blue,1.19,Average,no,3838
16,calypso-top-pink,10559183356237,Calypso Τοπ ροζ,1.09,Average,no,2979
17,meria-dress,10563092447565,Meria Φόρεμα,0.79,Average,no,3030
18,stella-kimono,10564824432973,Stella Κιμονό,0.72,Average,no,2495
19,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.72,Average,no,2843
20,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.71,Average,no,2809
21,liberty-dress,10566102974797,Liberty Φόρεμα,0.68,Average,no,2042
22,zale-dress,10563130229069,Zale Φόρεμα,0.66,Average,no,2833
23,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.59,Average,no,2200
24,aria-skirt-1,10563312714061,Aria Skirt,0.58,Average,no,2041
25,elyra-pants,10563246784845,Elyra Παντελόνα,0.58,Average,no,2146
26,shona-pants,10564789961037,Shona Παντελόνα,0.58,Average,no,2403
27,ismini-1,10745646252365,Ismini Φούστα,0.57,Average,no,1349
28,elyra-top,10563231154509,Elyra Τοπ,0.54,Average,no,1849
29,lyla-skirt,10563307635021,Lyla Skirt,0.53,Average,no,1538
30,hilda-dress-champagne,10564841374029,Hilda Φόρεμα σαμπανιζέ,0.49,Low,no,1744
31,hilda-dress-dusty-pink,10566100255053,Hilda Dusty Φόρεμα ροζ,0.48,Low,no,1785
32,debbie-pants,10564787011917,Debbie Παντελόνα,0.45,Low,no,1455
33,lyla-top,10563222045005,Lyla Τοπ,0.45,Low,no,1281
34,indira-skirt,10563304816973,Indira Skirt,0.43,Low,no,1345
35,aria-top-1,10563232760141,Aria Τοπ,0.36,Low,no,1141
36,elyra-body,10563024912717,Elyra Κορμάκι,0.34,Low,no,1066
37,zaria-top,10563046768973,Zaria Τοπ,0.31,Low,no,845
38,livia-skirt,10563055878477,Livia Skirt,0.30,Low,no,1034
39,shona-shirt,10564578804045,Shona Πουκάμισο,0.29,Low,no,1224
40,livia-top,10563040510285,Livia Τοπ,0.19,Low,no,594
41,shona-skirt,10564766138701,Shona Skirt,0.15,Low,no,668
42,hilary-dress,10566159991117,Hilary Φόρεμα,4.14,Hero,yes,14803
