position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,naia-dress,10834002870605,Naia Dress,5.49,New,no,4271
2,gold-underdress,8936685863245,Gold Underdress,5.38,Hero,no,2086
3,daria-limited,10833962598733,Daria LIMITED,5.04,New,no,2488
4,belisse-limited,10833955914061,Belisse LIMITED,4.62,New,no,2857
5,olena-dress,10834006475085,Olena Dress,4.44,New,no,3256
6,belisse-dress,10833955160397,Belisse Dress,3.19,New,no,2449
7,daria-dress,10833960927565,Daria Dress,3.15,New,no,2699
8,nerea-dress,10834097766733,Nerea Dress,3.09,New,no,1880
9,adelie-dress,10833893097805,Adélie Dress,2.82,New,no,2141
10,sorelia-limited-1,10833930387789,Araminta Dress,2.79,New,no,2590
11,gold-underdress-long-1,10566350635341,Gold Underdress Long,2.60,Strong,no,1142
12,adara-dress,10834117951821,Adara Dress,2.24,New,no,1369
13,lyselle-dress,10833924161869,Lyselle Dress,2.09,New,no,1955
14,liora-dress-1,10833878876493,Liora Dress,2.00,New,no,1444
15,alessa-dress,10833913938253,Alessa Dress,1.80,New,no,1567
16,paloma-dress,10834069487949,Paloma Dress,1.78,New,no,1554
17,melisande-top-1,10831622013261,Melisande Top,1.63,New,no,1396
18,alessandra-dress,10863687893325,Alessandra Dress,1.60,New,no,1326
19,alessia-kimono,10833837261133,Alessia Kimono,1.56,New,no,694
20,amarise-dress,10833918460237,Amarisé Dress,1.55,New,no,1123
21,irina-dress,10834091508045,Irina Dress,1.46,New,no,1283
22,belisse-cape,10831625519437,Belisse  Cape,1.45,New,no,1029
23,ameline-top-1,10831704588621,Ameline Top,1.42,New,no,842
24,mireya-dress,10833908760909,Mireya Dress,1.39,New,no,1178
25,pink-underdress-long,10078634836301,Pink Underdress Long,1.32,Average,no,1630
26,tamara-jumsuit,10834724651341,Tamara Jumsuit,1.32,New,no,1146
27,reina-dress-1,10834071912781,Reina Dress,1.25,New,no,1046
28,maristelle-dress,10833922490701,Maristelle Dress,1.25,New,no,1100
29,pink-underdress,8936687141197,Pink Underdress,1.25,Average,no,855
30,ameline-kimono,10833834901837,Ameline  Kimono,1.25,New,no,802
31,ciela-dress,10833959190861,Ciela Dress,1.24,New,no,1061
32,verona-dress,10834089836877,Verona Dress,1.23,New,no,1030
33,elettra-dress,10834705842509,Elettra Dress,1.23,New,no,808
34,noir-dress,10906129269069,Noir Dress,1.21,New,no,24
35,ismerie-dress,10833894801741,Ismerie Dress,1.18,New,no,1039
36,eira-limited-1,10833965449549,Eira LIMITED,1.18,New,no,1009
37,bianca-jumsuit,10834721472845,Bianca Jumsuit,1.17,New,no,955
38,faline-dress,10833966629197,Faline Dress,1.14,New,no,997
39,petra-dress,10834711085389,Petra Dress,1.13,New,no,464
40,amorette-dress,10833895883085,Amorette Dress,1.12,New,no,917
41,seraphina-pants,10831770747213,Seraphina Pants,1.12,New,no,36
42,seraphina-blazer,10833848992077,Seraphina Blazer,1.03,New,no,48
43,jessamine-pants,10831736045901,Jessamine Pants,1.02,New,no,50
44,calista-skirt,10831800795469,Calista Skirt,1.02,New,no,831
45,virelia-dress,10847552897357,Virelia Dress,1.01,New,no,849
46,odessa-dress,10834099208525,Odessa Dress,1.00,New,no,806
47,eira-dress-1,10833964007757,Eira Dress,0.99,New,no,539
48,eira-cape-1,10831635022157,Eira  Cape,0.99,New,no,563
49,ameline-skirt,10833816387917,Ameline  Skirt,0.98,New,no,520
50,ameline-top,10831700951373,Ameline Top,0.97,New,no,404
51,oriana-dress,10907702198605,Oriana Dress,0.97,New,no,58
52,celeste-dress-1,10847613124941,Celeste Dress,0.97,New,no,544
53,leonie-kimono,10833830773069,Leonie Kimono,0.95,New,no,744
54,elowen-top-1,10831615459661,Vespera Top,0.95,New,no,65
55,zafira-dress,10833902534989,Zafira Dress,0.94,New,no,705
56,mya-top,10831714812237,Mya Shirt,0.93,New,no,69
57,aviana-cape,10831648227661,Aviana  Cape,0.91,New,no,712
58,elara-skirt,10833813078349,Elara  Skirt,0.90,New,no,697
59,zafrina-dress,10834733793613,Zafrina Dress,0.88,New,no,686
60,amaris-top,10831673491789,Amaris Top,0.88,New,no,290
61,violetta-pants,10831729623373,Violetta Pants,0.88,New,no,157
62,leontine-jumsuit,10834723045709,Leontine Jumsuit,0.88,New,no,698
63,vespera-skirt,10833797644621,Vespera  Skirt,0.88,New,no,79
64,evania-pants,10831763931469,Evania Pants,0.88,New,no,231
