position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elaria,10664754151757,Elaria Φόρεμα,2.30,Strong,no,6684
2,camelia,10663947960653,Camelia Φόρεμα,1.36,Average,no,3911
3,aura,10633856221517,Aura Φόρεμα,1.29,Average,no,4354
4,aurelle,10637297090893,Aurelle Φόρεμα,1.18,Average,no,2700
5,natel,10847193203021,Natel Φόρεμα,0.95,New,no,62
6,meline,10634114826573,Meline Φόρεμα,0.94,Average,no,1597
7,copy-copy-72,10633888858445,Nymia Φόρεμα,0.91,Average,no,2418
8,thirea,10633937944909,Thirea Φόρεμα,0.89,Average,no,2947
9,viora,10636342690125,Viora Φόρεμα,0.73,Average,no,2091
10,meline-copy,10644362002765,Lavelle  Φόρεμα,0.29,Low,no,890
11,copy-copy-69,10633886466381,Linea Φόρεμα,0.14,Low,no,524
12,copy-copy-71,10633887056205,Aluna Φόρεμα,0.11,Low,no,200
13,thalea,10633917563213,Thalea Φόρεμα,0.10,Low,no,185
14,ismera,10633929261389,Ismera Φόρεμα,0.10,Low,no,409
15,copy-copy-77,10633966977357,Isenor Φόρεμα,0.05,Low,no,83
16,velora,10634112041293,Velora Φόρεμα,3.42,Hero,yes,8155
17,copy-copy-75,10633925165389,Delya Φόρεμα,3.24,Hero,yes,10252
18,lumira,10633956557133,Lumira Φόρεμα,2.67,Strong,yes,9159
19,solenne,10644069187917,Solenne Φόρεμα,2.15,Strong,yes,7771
20,copy-copy-78,10633971007821,Thalior Φόρεμα,1.56,Strong,yes,5291
21,scarlet,10664671936845,Scarlet Φόρεμα,1.48,Average,yes,5406
22,serina,10633912582477,Serina Φόρεμα,1.23,Average,yes,4608
23,copy-copy-73,10633890300237,Velina Φόρεμα,1.19,Average,yes,3514
24,orlena,10633960587597,Orlena Φόρεμα,1.04,Average,yes,3663
25,norel,10634213425485,Norel Φόρεμα,0.58,Average,yes,2058
26,rosea,10633906127181,Rosea Φόρεμα,0.51,Average,yes,1762
27,elaria-copy,10710381297997,Etoile Φόρεμα,0.49,Low,yes,1873
28,copy-copy-74,10633898852685,Velinor Φόρεμα,0.39,Low,yes,1357
29,fiora,10633892299085,Fiora Φόρεμα,0.26,Low,yes,855
30,noma,10633884762445,Noma Φόρεμα,0.17,Low,yes,407
31,olira,10633941942605,Olira Φόρεμα,0.16,Low,yes,630
