position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,naia-dress,10834002870605,Naia Dress,4.39,New,no,4271
2,daria-limited,10833962598733,Daria LIMITED,4.27,New,no,2488
3,belisse-limited,10833955914061,Belisse LIMITED,3.76,New,no,2857
4,olena-dress,10834006475085,Olena Dress,3.60,New,no,3256
5,nerea-dress,10834097766733,Nerea Dress,2.56,New,no,1880
6,belisse-dress,10833955160397,Belisse Dress,2.51,New,no,2449
7,daria-dress,10833960927565,Daria Dress,2.46,New,no,2699
8,adelie-dress,10833893097805,Adélie Dress,2.26,New,no,2141
9,sorelia-limited-1,10833930387789,Araminta Dress,2.12,New,no,2590
10,adara-dress,10834117951821,Adara Dress,1.86,New,no,1369
11,liora-dress-1,10833878876493,Liora Dress,1.64,New,no,1444
12,lyselle-dress,10833924161869,Lyselle Dress,1.60,New,no,1955
13,alessa-dress,10833913938253,Alessa Dress,1.40,New,no,1567
14,paloma-dress,10834069487949,Paloma Dress,1.38,New,no,1554
15,alessandra-dress,10863687893325,Alessandra Dress,1.29,New,no,1326
16,amarise-dress,10833918460237,Amarisé Dress,1.25,New,no,1123
17,noir-dress,10906129269069,Noir Dress,1.21,New,no,24
18,irina-dress,10834091508045,Irina Dress,1.14,New,no,1283
19,mireya-dress,10833908760909,Mireya Dress,1.11,New,no,1178
20,elettra-dress,10834705842509,Elettra Dress,1.02,New,no,808
21,reina-dress-1,10834071912781,Reina Dress,0.99,New,no,1046
22,petra-dress,10834711085389,Petra Dress,0.99,New,no,464
23,maristelle-dress,10833922490701,Maristelle Dress,0.99,New,no,1100
24,verona-dress,10834089836877,Verona Dress,0.99,New,no,1030
25,ciela-dress,10833959190861,Ciela Dress,0.97,New,no,1061
26,oriana-dress,10907702198605,Oriana Dress,0.97,New,no,58
27,ismerie-dress,10833894801741,Ismerie Dress,0.93,New,no,1039
28,eira-limited-1,10833965449549,Eira LIMITED,0.92,New,no,1009
29,amorette-dress,10833895883085,Amorette Dress,0.91,New,no,917
30,faline-dress,10833966629197,Faline Dress,0.89,New,no,997
31,eira-dress-1,10833964007757,Eira Dress,0.85,New,no,539
32,celeste-dress-1,10847613124941,Celeste Dress,0.82,New,no,544
33,odessa-dress,10834099208525,Odessa Dress,0.81,New,no,806
34,virelia-dress,10847552897357,Virelia Dress,0.79,New,no,849
35,sorelia-dress,10833926947149,Sorelia Dress,0.78,New,no,217
36,zafira-dress,10833902534989,Zafira Dress,0.78,New,no,705
37,annelise-dress,10863625961805,Annelise Dress,0.73,New,no,607
38,zafrina-dress,10834733793613,Zafrina Dress,0.72,New,no,686
39,aviana-limited,10833951162701,Aviana LIMITED,0.69,New,no,616
40,cressida-dress,10833916559693,Cressida Dress,0.68,New,no,616
41,leandra-limited,10833979244877,Leandra LIMITED,0.65,New,no,583
42,samara-dress,10834074337613,Samara Dress,0.65,New,no,650
43,mirea-dress,10833985175885,Mirea Dress,0.64,New,no,179
44,freya-dress,10834090557773,Freya Dress,0.64,New,no,526
45,evadne-dress,10847616008525,Evadne Dress,0.62,New,no,576
46,novalie-dress,10833931174221,Novalie Dress,0.62,New,no,206
47,jolie-dress-1,10834092753229,Jolie Dress,0.62,New,no,537
48,lavinia-dress-1,10833890148685,Lavinia Dress,0.62,New,no,539
49,aviana-dress,10833949294925,Aviana Dress,0.62,New,no,450
50,azelie-dress,10833853940045,Azélie Dress,0.61,New,no,426
51,inessa-dress,10833969807693,Inessa Dress,0.60,New,no,382
52,odelia-dress-1,10833920721229,Odelia Dress,0.60,New,no,394
53,talia-dress-1,10834083283277,Talia Dress,0.60,New,no,261
54,mirea-limited,10833998643533,Mirea LIMITED,0.60,New,no,443
55,vianne-dress,10833912070477,Vianne Dress,0.58,New,no,355
56,orietta-dress,10833897455949,Orietta Dress,0.58,New,no,277
57,faline-dress-copy,10847566528845,Rosalie Dress,0.58,New,no,362
58,malina-dress,10834710036813,Malina Dress,0.58,New,no,353
59,copy-copy-79,10833934483789,Novalie LIMITED,0.58,New,no,293
60,tessa-dress,10834101633357,Tessa Dress,0.57,New,no,370
61,sorelia-limited,10833928782157,Sorelia LIMITED,0.57,New,no,319
62,eloise-dress-1,10850840478029,Eloise Dress,0.57,New,no,281
63,leandra-dress-1,10833971741005,Leandra Dress,0.57,New,no,339
64,tessa-limited,10834115395917,Tessa LIMITED,0.57,New,no,307
65,kalina-dress,10834708365645,Kalina Dress,1.70,New,yes,1878
66,kiara-dress,10834094031181,Kiara Dress,0.59,New,yes,309
67,kiara-limited,10834095440205,Kiara LIMITED,0.57,New,yes,365
