position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,ameline-skirt,10833816387917,Ameline  Skirt,2.01,New,no,520
2,calista-skirt,10831800795469,Calista Skirt,1.95,New,no,831
3,elara-skirt,10833813078349,Elara  Skirt,1.64,New,no,697
4,cassia-skirt,10833817010509,Cassia  Skirt,1.58,New,no,292
5,althea-skirt,10833805377869,Althea  Skirt,1.00,New,no,362
6,eulalia-skirt,10833806360909,Eulalia Skirt,0.95,New,no,298
7,maelle-skirt,10831789752653,Maelle Skirt,0.92,New,no,230
8,vespera-skirt,10833797644621,Vespera  Skirt,0.92,New,no,79
9,elowen-skirt-1,10833793253709,Elowen  Skirt,0.88,New,no,99
10,aveline-skirt,10831781691725,Aveline Skirt,0.84,New,no,171
11,lysandra-skirt,10833814716749,Lysandra Skirt,0.80,New,no,186
