position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,melisande-top-1,10831622013261,Melisande Top,3.03,New,no,1396
2,belisse-cape,10831625519437,Belisse  Cape,2.89,New,no,1029
3,ameline-top-1,10831704588621,Ameline Top,2.70,New,no,842
4,eira-cape-1,10831635022157,Eira  Cape,1.89,New,no,563
5,ameline-top,10831700951373,Ameline Top,1.72,New,no,404
6,aviana-cape,10831648227661,Aviana  Cape,1.61,New,no,712
7,amaris-top,10831673491789,Amaris Top,1.47,New,no,290
8,daria-cape,10831632204109,Daria  Cape,1.10,New,no,384
9,elowen-top-1,10831615459661,Vespera Top,0.98,New,no,65
10,mya-top,10831714812237,Mya Shirt,0.96,New,no,69
11,maristella-cape-1,10834734645581,Maristella Cape,0.90,New,no,283
12,maelle-top,10831601533261,Maelle Top,0.88,New,no,119
13,aveline-top-1,10831558803789,Aveline Top,0.87,New,no,111
14,cassia-top,10831707406669,Cassia Top,0.87,New,no,114
15,calista-top,10831609299277,Calista Top,0.87,New,no,207
16,elara-top,10831695315277,Elara Top,0.86,New,no,222
17,evania-top,10831701770573,Evania Top,0.86,New,no,131
18,elowen-top,10831611429197,Elowen Top,0.85,New,no,255
19,oriane-top,10831663268173,Oriane Top,0.84,New,no,126
20,melisande-top,10831618048333,Althea Top,0.83,New,no,138
21,zinnia-cape,10834735432013,Zinnia Cape,0.83,New,no,192
22,zelie-cape-1,10831669330253,Zelie Cape,0.82,New,no,225
23,leonora-cape,10831717695821,Leonora Cape,0.79,New,no,190
