position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,gold-underdress,8936685863245,Gold Underdress,2.96,Strong,no,2086
2,pink-underdress-long,10078634836301,Pink Underdress Long,1.63,Strong,no,1630
3,gold-underdress-long-1,10566350635341,Gold Underdress Long,1.50,Strong,no,1142
4,ariel-siren,10635955667277,Ariel Siren Τουρμπάνι Ροζ,1.15,Average,no,967
5,pink-underdress,8936687141197,Pink Underdress,1.04,Average,no,855
6,layered-shell-1,10663945011533,Layered Shell Κολιέ,1.43,Average,yes,1572
7,dalia,10731582325069,Dalia Τουρμπάνι,0.88,Average,yes,886
8,layered-silver-1,10663946092877,Layered Silver Κολιέ,0.70,Average,yes,611
9,turban,10635926929741,Ariel Siren Τουρμπάνι Μπλε,0.53,Average,yes,368
10,nyx,10636006129997,Nyx Τουρμπάνι,0.44,Low,yes,390
11,earth-tone,10663944454477,Earth Tone Κολιέ,0.32,Low,yes,200
12,ivory-stone-1,10663946715469,Ivory Stone Κολιέ,0.28,Low,yes,167
13,ivory-1,10663943110989,Ivory Κολιέ,0.19,Low,yes,121
