position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elodie-dress,10566138757453,Elodie Φόρεμα,6.66,Hero,no,38367
2,crystalia,10652663251277,Crystalia Φόρεμα,2.87,Strong,no,19946
3,victoria,10697115926861,Victoria Φόρεμα,2.31,Strong,no,17323
4,sophia,10642032361805,Sophia Φόρεμα,1.66,Strong,no,12047
5,nerida,10710349381965,Nerida Φόρεμα,1.64,Strong,no,8969
6,greta-dress,10566155960653,Greta Φόρεμα,1.60,Strong,no,9251
7,noelle,10786243215693,Noelle Φόρεμα,1.40,Average,no,5265
8,tiffany-dress,10197665218893,Tiffany dress,1.33,Average,no,7948
9,rosalie-2,10786210480461,Rosalie Φόρεμα,1.24,Average,no,4660
10,elaria,10664754151757,Elaria Φόρεμα,1.11,Average,no,6684
11,ioli,10728698184013,Ioli Φόρεμα,0.90,Average,no,6327
12,ione-2,10710363537741,Ione Φόρεμα,0.69,Average,no,5338
13,camelia,10663947960653,Camelia Φόρεμα,0.64,Average,no,3911
14,aura,10633856221517,Aura Φόρεμα,0.63,Average,no,4354
15,marceline,10786231877965,Marceline Φόρεμα,0.63,Average,no,2561
16,nefeli,10728541159757,Nefeli Φόρεμα,0.60,Average,no,3741
17,aurelle,10637297090893,Aurelle Φόρεμα,0.57,Average,no,2700
18,meria-dress,10563092447565,Meria Φόρεμα,0.44,Low,no,3030
19,margie-dress,10566101827917,Margie Φόρεμα,0.43,Low,no,2780
20,liberty-dress,10566102974797,Liberty Φόρεμα,0.39,Low,no,2042
21,livia-dress,10563406201165,Livia Φόρεμα,0.38,Low,no,2632
22,zale-dress,10563130229069,Zale Φόρεμα,0.37,Low,no,2833
23,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.33,Low,no,2200
24,rinna,10657650803021,Rinna Φόρεμα,0.31,Low,no,1970
25,moss-dress-1,10563105227085,Moss Φόρεμα,0.28,Low,no,1769
26,hilda-dress-dusty-pink,10566100255053,Hilda Dusty Φόρεμα ροζ,0.27,Low,no,1785
27,hilary-dress,10566159991117,Hilary Φόρεμα,2.36,Strong,yes,14803
28,evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,2.08,Strong,yes,11724
29,ariel-siren-dress-blue,10559049138509,Ariel Siren Φόρεμα γαλάζιο,1.88,Strong,yes,12733
30,marisa,10671661482317,Marisa Φόρεμα,1.76,Strong,yes,10471
31,helia-dress,10563090907469,Helia Φόρεμα,1.43,Average,yes,9780
32,soraya,10643352158541,Soraya Φόρεμα,1.37,Average,yes,7652
33,lumira,10633956557133,Lumira Φόρεμα,1.26,Average,yes,9159
34,elise,10664056750413,Elise Φόρεμα,1.12,Average,yes,7589
35,asteria-dress,10563094708557,Asteria Φόρεμα,1.10,Average,yes,6985
36,electra-dress,10584479564109,Electra Φόρεμα,0.96,Average,yes,6501
37,calyra-dress,10563075998029,Calyra Φόρεμα,0.89,Average,yes,5681
38,copy-2,10588786295117,Linus Φόρεμα,0.75,Average,yes,6068
39,melin-dress,10566165102925,Melin Φόρεμα,0.68,Average,yes,4266
40,elyra-dress,10563404235085,Elyra Φόρεμα,0.60,Average,yes,3912
41,aegea-dress,10563131900237,Aegea Φόρεμα,0.57,Average,yes,4231
42,s26-5048,10559098978637,Ariel Siren Φόρεμα ροζ,0.54,Average,yes,3979
43,kathy-dress,10566165856589,Kathy Φόρεμα,0.47,Low,yes,3403
44,dore-dress,10564872208717,Dore Φόρεμα,0.43,Low,yes,3082
45,azalea-dress,10566201803085,Azalea Φόρεμα,0.39,Low,yes,2620
46,astra-dress,10566182437197,Astra Φόρεμα,0.33,Low,yes,1454
47,sonia-dress,10564952752461,Sonia Φόρεμα,0.31,Low,yes,2508
48,krista-dress,10566185877837,Krista Φόρεμα,0.30,Low,yes,1672
49,sylla-dress,10566150095181,Sylla Φόρεμα,0.30,Low,yes,2003
50,myrielle,10657829552461,Myrielle Φόρεμα,0.22,Low,yes,1761
51,parker-dress,10566126928205,Parker Φόρεμα,0.19,Low,yes,1493
52,fiora,10633892299085,Fiora Φόρεμα,0.13,Low,yes,855
