position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.52,Strong,no,3229
2,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.41,Average,no,5395
3,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.75,Average,no,2809
4,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.71,Average,no,2843
5,lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,1.20,Average,yes,4533
6,argenta-jumpsuit,10563172696397,Argenta Ολόσωμη φόρμα,1.08,Average,yes,3840
7,nola-jumpsuit,10566211600717,Nola Ολόσωμη φόρμα,1.04,Average,yes,4818
8,oceane-jumpsuit,10563149726029,Oceane Ολόσωμη φόρμα,0.93,Average,yes,3272
9,zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,0.79,Average,yes,2725
10,livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,0.58,Average,yes,2017
