position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,celestia-kids,10700575211853,Celestia Kids Φόρεμα,1.88,Strong,no,1586
2,nerissa,10703248359757,Nerissa Kids Ροζ Κιμονό,1.26,Average,no,1092
3,nerissa-kids,10703250948429,Nerissa Kids Μπλε Κιμονό,0.83,Average,no,601
4,vivienne-kids,10703242985805,Vivienne Kids Φόρεμα,0.31,Low,no,277
5,maeva-kids,10700591759693,Maeva Kids Φόρεμα,2.25,Strong,yes,1943
6,arielia-kids,10700696977741,Arielia Kids Φόρεμα,2.24,Strong,yes,1894
7,zoe-kids,10703252554061,Zoe Kids Κιμονό,1.86,Strong,yes,1411
8,ariel-kids,10700554699085,Ariel Kids Φόρεμα,1.34,Average,yes,411
9,aurelia-kids,10703235547469,Aurelia Kids Φόρεμα,0.93,Average,yes,641
10,amelie-kids-set,10700490932557,Amelie Kids Set,0.88,Average,yes,499
11,mirabelle-kids,10703240692045,Mirabelle Kids Φόρεμα,0.72,Average,yes,616
12,alina-kids,10703246393677,Alina Kids Φόρεμα,0.62,Average,yes,387
13,valentina-kids,10700582224205,Valentina Kids Φόρεμα,0.45,Low,yes,295
14,coraline-kids,10703237939533,Coraline Kids Φόρεμα,0.45,Low,yes,375
15,stardust-kids,10703232729421,Stardust Kids Φόρεμα,0.39,Low,yes,311
16,pearlina-kids,10700565840205,Pearlina Kids Φόρεμα,0.32,Low,yes,271
17,bella-kids,10700556566861,Bella Kids Φόρεμα,0.28,Low,yes,246
