position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,sylvia,10714453999949,Sylvia Κιμονό,3.96,Hero,no,12882
2,kirki-kimono,10730877223245,Kirki Κιμονό,1.53,Strong,no,5513
3,nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,1.41,Average,no,4575
4,auralis-kimono,10563066659149,Auralis Κιμονό,1.27,Average,no,4655
5,stella-kimono,10564824432973,Stella Κιμονό,0.69,Average,no,2495
6,lydia,10714458063181,Lydia Κιμονό,1.83,Strong,yes,8163
7,astor-kimono,10566045172045,Astor Kimono,1.57,Strong,yes,6537
8,melina,10714445873485,Melina Κιμονό,1.40,Average,yes,5012
9,norah-kimono,10566086492493,Norah Κιμονό,1.30,Average,yes,5492
10,nerissa-kimono-blue,10559203049805,Nerissa Κιμονό μπλε,1.02,Average,yes,3085
11,aria-kimono,10564825186637,Aria Κιμονό,1.00,Average,yes,4029
12,argenta-kimono,10563359539533,Argenta Κιμονό,0.98,Average,yes,3102
13,aster-kimono,10559208358221,Aster Κιμονό,0.88,Average,yes,3754
14,irida-kimono,10730818896205,Irida Κιμονό,0.84,Average,yes,3815
15,monique-kimono,10566047891789,Monique Κιμονό,0.79,Average,yes,3169
16,shona-kimono,10564823515469,Shona Κιμονό,0.63,Average,yes,2703
17,zoe-kimono,10564757815629,Zoe Κιμονό,0.44,Low,yes,1751
18,livia-kimono,10564754964813,Livia Κιμονό,0.32,Low,yes,1062
19,ismini,10730873160013,Ismini Κιμονό,0.32,Low,yes,735
20,lilly-kimono,10566068437325,Lilly Κιμονό,0.27,Low,yes,1259
21,zelda-kimono,10566049726797,Zelda Κιμονό,0.26,Low,yes,1059
22,lyla-kimono,10564749328717,Lyla Κιμονό,0.25,Low,yes,1032
23,indira-kimono,10563362685261,Indira Κιμονό,0.22,Low,yes,969
