position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,stella-top-1,10718845763917,Domna Φούστα,3.23,Hero,no,9974
2,doris,10730899734861,Doris Φούστα,2.65,Strong,no,6377
3,coco-skirt,10730655580493,Coco Φούστα,2.52,Strong,no,5868
4,melin-skirt,10804947190093,Melin Skirt,1.67,Strong,no,1780
5,calypso-skirt-blue,10559198298445,Calypso Skirt Blue,1.36,Average,no,3838
6,magnolia-skirt,10566041698637,Magnolia Φούστα,1.31,Average,no,4244
7,ione-1,10657683439949,Ione Φούστα,1.18,Average,no,4072
8,solea,10740788068685,Solea Φούστα,0.91,Average,no,1956
9,isabella,10710401483085,Isabella Φούστα,0.76,Average,no,2235
10,aria-skirt-1,10563312714061,Aria Skirt,0.65,Average,no,2041
11,ismini-1,10745646252365,Ismini Φούστα,0.61,Average,no,1349
12,lyla-skirt,10563307635021,Lyla Skirt,0.57,Average,no,1538
13,indira-skirt,10563304816973,Indira Skirt,0.53,Average,no,1345
14,livia-skirt,10563055878477,Livia Skirt,0.34,Low,no,1034
15,glinda-skirt,10566351814989,Glinda Skirt,0.28,Low,no,793
16,shona-skirt,10564766138701,Shona Skirt,0.17,Low,no,668
17,empress-skirt,10074122977613,Empress Skirt,1.91,Strong,yes,5499
18,orlaya-1,10641885364557,Orlaya Φούστα,1.79,Strong,yes,5181
19,calypso-skirt-pink,10559200788813,Calypso Skirt Pink,1.43,Average,yes,4291
20,kirki-skirt,10730866344269,Kirki Φούστα,1.19,Average,yes,3698
21,capri,10731571183949,Capri Φούστα,1.14,Average,yes,3479
22,eirys-skirt,10563065413965,Eirys Skirt,0.70,Average,yes,2016
23,nora-1,10758774489421,Nora Φούστα,0.68,Average,yes,1648
24,orlaya-2,10641906958669,Orlaya Φούστα Ροζ,0.61,Average,yes,2264
25,zaria-skirt,10563065872717,Zaria Skirt,0.49,Low,yes,1598
26,myra-skirt,10563057189197,Myra Skirt,0.48,Low,yes,1257
27,ophelia-skirt,10563290530125,Ophelia Skirt,0.47,Low,yes,926
28,stella-skirt,10563313762637,Stella Skirt,0.29,Low,yes,1092
29,nyx-skirt,10563049128269,Nyx Skirt,0.16,Low,yes,622
30,monique-skirt,10566040191309,Monique Skirt,0.05,Low,yes,178
