position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,melin-top,10804955087181,Melin Top,2.31,Strong,no,1649
2,runa-top,10566035374413,Runa Τοπ,2.15,Strong,no,5147
3,magnolia-top,10731569217869,Magnolia Τοπ,1.82,Strong,no,4031
4,doris-1,10730911793485,Doris Τοπ,1.59,Strong,no,3100
5,calypso-top-pink,10559183356237,Calypso Τοπ ροζ,1.57,Strong,no,2979
6,kirki,10730842784077,Kirki Τοπ,1.56,Strong,no,2669
7,nora,10758769738061,Nora Τοπ,1.48,Average,no,2002
8,sienna-copy,10697387508045,Patricia Τοπ,0.94,Average,no,2028
9,solea-1,10740803436877,Solea Τοπ,0.90,Average,no,1372
10,elyra-top,10563231154509,Elyra Τοπ,0.85,Average,no,1849
11,lyla-top,10563222045005,Lyla Τοπ,0.75,Average,no,1281
12,isabellatop,10710406005069,Isabella Τοπ,0.71,Average,no,1220
13,ione,10657672266061,Ione Τοπ,0.61,Average,no,940
14,aria-top-1,10563232760141,Aria Τοπ,0.58,Average,no,1141
15,elyra-body,10563024912717,Elyra Κορμάκι,0.56,Average,no,1066
16,irida-top,10730927784269,Irida Τοπ,0.53,Average,no,609
17,zaria-top,10563046768973,Zaria Τοπ,0.49,Low,no,845
18,shona-shirt,10564578804045,Shona Πουκάμισο,0.45,Low,no,1224
19,stella-top,10563234267469,Stella Τοπ,0.31,Low,no,652
20,livia-top,10563040510285,Livia Τοπ,0.28,Low,no,594
21,mae-top,10564537778509,Mae Τοπ,0.28,Low,no,433
22,stella,10718851137869,Domna Τοπ,7.94,Hero,yes,21290
23,coco,10730619339085,Coco Τοπ,3.73,Hero,yes,6010
24,empress-top,10073195905357,Empress Top,3.67,Hero,yes,6484
25,capri-1,10731572789581,Capri Τοπ,2.42,Strong,yes,5528
26,argenta-cape,10563227615565,Argenta Κάπα,1.96,Strong,yes,4111
27,neta-top,10566385434957,Neta Τοπ,1.62,Strong,yes,3741
28,elyra-cape,10563208315213,Elyra Κάπα,1.55,Strong,yes,3260
29,calypso-shirt-blue,10559144755533,Calypso Πουκάμισο γαλάζιο,1.07,Average,yes,1768
30,orlaya,10641862000973,Orlaya Τοπ,0.94,Average,yes,1827
31,indira-top,10563199992141,Indira Τοπ,0.91,Average,yes,1918
32,indy-top,10563435102541,Indy Τοπ,0.71,Average,yes,1665
33,zoe-cape,10563437789517,Zoe Κάπα,0.66,Average,yes,1297
34,calypso-top-blue,10559164318029,Calypso Τοπ γαλάζιο,0.58,Average,yes,959
35,calypso-shirt-pink,10559193186637,Calypso Πουκάμισο ροζ,0.51,Average,yes,859
36,arla-top,10566363447629,Arla Τοπ,0.49,Low,yes,1033
37,thetis,10730953146701,Thetis Τοπ,0.46,Low,yes,297
38,melissa-top,10566027510093,Melissa Τοπ,0.46,Low,yes,859
39,ophelia-top,10563189473613,Ophelia Τοπ,0.43,Low,yes,862
40,myra-top-1,10563042214221,Myra Τοπ,0.43,Low,yes,584
41,mare-top,10731588223309,Mare Τοπ,0.43,Low,yes,385
42,ember-top-yellow,10564586668365,Ember Τοπ κίτρινο,0.41,Low,yes,717
43,debbie-shirt,10564590010701,Debbie Πουκάμισο,0.39,Low,yes,545
44,orlaya-3,10641918886221,Orlaya Τοπ Ροζ,0.37,Low,yes,898
45,rhia-top,10563437035853,Rhia Τοπ,0.36,Low,yes,963
46,gabby-top,10566028427597,Gabby Τοπ,0.35,Low,yes,628
47,opal-top,10563436282189,Opal Τοπ,0.33,Low,yes,890
48,shona-top,10564592664909,Shona Τοπ,0.32,Low,yes,467
49,sienna-top,10566393954637,Sienna Τοπ,0.30,Low,yes,783
50,sundra-top,10566352666957,Sundra Τοπ,0.30,Low,yes,554
51,romi-top,10566360826189,Romi Τοπ,0.29,Low,yes,426
52,s26-1008,10563044606285,Eirys Τοπ,0.23,Low,yes,380
53,nyx-top,10563029533005,Nyx Τοπ,0.15,Low,yes,273
54,ines-shirt,10564583817549,Ines Πουκάμισο,0.12,Low,yes,307
55,lucy-shirt,10566370197837,Lucy Πουκάμισο,0.11,Low,yes,303
