position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elodie-dress,10566138757453,Elodie Φόρεμα,11.07,Hero,no,38367
2,marbella-dress,10814110531917,Marbella Dress,5.14,Hero,no,6719
3,crystalia,10652663251277,Crystalia Φόρεμα,4.79,Hero,no,19946
4,victoria,10697115926861,Victoria Φόρεμα,3.91,Hero,no,17323
5,sylvia,10714453999949,Sylvia Κιμονό,3.78,Hero,no,12882
6,sophia,10642032361805,Sophia Φόρεμα,2.81,Strong,no,12047
7,stella-top-1,10718845763917,Domna Φούστα,2.76,Strong,no,9974
8,greta-dress,10566155960653,Greta Φόρεμα,2.71,Strong,no,9251
9,nerida,10710349381965,Nerida Φόρεμα,2.70,Strong,no,8969
10,noelle,10786243215693,Noelle Φόρεμα,2.30,Strong,no,5265
11,doris,10730899734861,Doris Φούστα,2.22,Strong,no,6377
12,coco-skirt,10730655580493,Coco Φούστα,2.15,Strong,no,5868
13,rosalie-2,10786210480461,Rosalie Φόρεμα,2.04,Strong,no,4660
14,maeva-dress,10566112903501,Maeva Φόρεμα,1.71,Strong,no,3089
15,leandra-dress,10814122819917,Leandra Dress,1.63,Strong,no,2198
16,ioli,10728698184013,Ioli Φόρεμα,1.50,Strong,no,6327
17,zoe-pants,10564703289677,Zoe Παντελόνα,1.48,Average,no,5365
18,kirki-kimono,10730877223245,Kirki Κιμονό,1.48,Average,no,5513
19,melin-skirt,10804947190093,Melin Skirt,1.46,Average,no,1780
20,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.43,Average,no,3229
21,melin-top,10804955087181,Melin Top,1.41,Average,no,1649
22,nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,1.38,Average,no,4575
23,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.30,Average,no,5395
24,auralis-kimono,10563066659149,Auralis Κιμονό,1.27,Average,no,4655
25,runa-top,10566035374413,Runa Τοπ,1.25,Average,no,5147
26,magnolia-top,10731569217869,Magnolia Τοπ,1.21,Average,no,4031
27,ione-2,10710363537741,Ione Φόρεμα,1.17,Average,no,5338
28,magnolia-skirt,10566041698637,Magnolia Φούστα,1.16,Average,no,4244
29,calypso-skirt-blue,10559198298445,Calypso Skirt Blue,1.12,Average,no,3838
30,nerina-dress,10814128783693,Nerina Dress,1.09,Average,no,1149
31,aura,10633856221517,Aura Φόρεμα,1.06,Average,no,4354
32,camelia,10663947960653,Camelia Φόρεμα,1.06,Average,no,3911
33,doris-1,10730911793485,Doris Τοπ,1.04,Average,no,3100
34,marceline,10786231877965,Marceline Φόρεμα,1.02,Average,no,2561
35,calypso-top-pink,10559183356237,Calypso Τοπ ροζ,1.00,Average,no,2979
36,ione-1,10657683439949,Ione Φούστα,0.98,Average,no,4072
37,nefeli,10728541159757,Nefeli Φόρεμα,0.98,Average,no,3741
