position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elodie-dress,10566138757453,Elodie Φόρεμα,10.80,Hero,no,38367
2,marbella-dress,10814110531917,Marbella Dress,4.95,Hero,no,6719
3,crystalia,10652663251277,Crystalia Φόρεμα,4.69,Hero,no,19946
4,victoria,10697115926861,Victoria Φόρεμα,3.77,Hero,no,17323
5,sylvia,10714453999949,Sylvia Κιμονό,3.75,Hero,no,12882
6,sophia,10642032361805,Sophia Φόρεμα,2.69,Strong,no,12047
7,nerida,10710349381965,Nerida Φόρεμα,2.67,Strong,no,8969
8,greta-dress,10566155960653,Greta Φόρεμα,2.60,Strong,no,9251
9,noelle,10786243215693,Noelle Φόρεμα,2.26,Strong,no,5265
10,rosalie-2,10786210480461,Rosalie Φόρεμα,2.01,Strong,no,4660
11,maeva-dress,10566112903501,Maeva Φόρεμα,1.63,Strong,no,3089
12,zoe-pants,10564703289677,Zoe Παντελόνα,1.46,Average,no,5365
13,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.39,Average,no,3229
14,nerissa-kimono-pink,10559204852045,Nerissa Κιμονό ροζ,1.35,Average,no,4575
15,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.26,Average,no,5395
16,auralis-kimono,10563066659149,Auralis Κιμονό,1.22,Average,no,4655
17,runa-top,10566035374413,Runa Τοπ,1.21,Average,no,5147
18,ione-2,10710363537741,Ione Φόρεμα,1.13,Average,no,5338
19,calypso-skirt-blue,10559198298445,Calypso Skirt Blue,1.11,Average,no,3838
20,calypso-top-pink,10559183356237,Calypso Τοπ ροζ,1.03,Average,no,2979
21,marceline,10786231877965,Marceline Φόρεμα,0.99,Average,no,2561
22,meria-dress,10563092447565,Meria Φόρεμα,0.72,Average,no,3030
23,margie-dress,10566101827917,Margie Φόρεμα,0.69,Average,no,2780
24,stella-kimono,10564824432973,Stella Κιμονό,0.67,Average,no,2495
25,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.66,Average,no,2843
26,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.65,Average,no,2809
27,liberty-dress,10566102974797,Liberty Φόρεμα,0.64,Average,no,2042
28,livia-dress,10563406201165,Livia Φόρεμα,0.62,Average,no,2632
29,zale-dress,10563130229069,Zale Φόρεμα,0.60,Average,no,2833
30,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.55,Average,no,2200
31,sienna-copy,10697387508045,Patricia Τοπ,0.54,Average,no,2028
32,aria-skirt-1,10563312714061,Aria Skirt,0.54,Average,no,2041
33,elyra-pants,10563246784845,Elyra Παντελόνα,0.54,Average,no,2146
34,ismini-1,10745646252365,Ismini Φούστα,0.54,Average,no,1349
35,shona-pants,10564789961037,Shona Παντελόνα,0.53,Average,no,2403
36,lyla-skirt,10563307635021,Lyla Skirt,0.49,Low,no,1538
37,elyra-top,10563231154509,Elyra Τοπ,0.49,Low,no,1849
38,moss-dress-1,10563105227085,Moss Φόρεμα,0.46,Low,no,1769
39,hilda-dress-champagne,10564841374029,Hilda Φόρεμα σαμπανιζέ,0.45,Low,no,1744
40,hilda-dress-dusty-pink,10566100255053,Hilda Dusty Φόρεμα ροζ,0.44,Low,no,1785
41,debbie-pants,10564787011917,Debbie Παντελόνα,0.42,Low,no,1455
42,lyla-top,10563222045005,Lyla Τοπ,0.42,Low,no,1281
43,indira-skirt,10563304816973,Indira Skirt,0.40,Low,no,1345
44,aria-top-1,10563232760141,Aria Τοπ,0.34,Low,no,1141
45,elyra-body,10563024912717,Elyra Κορμάκι,0.32,Low,no,1066
46,zaria-top,10563046768973,Zaria Τοπ,0.29,Low,no,845
47,livia-skirt,10563055878477,Livia Skirt,0.27,Low,no,1034
48,shona-shirt,10564578804045,Shona Πουκάμισο,0.27,Low,no,1224
49,livia-top,10563040510285,Livia Τοπ,0.18,Low,no,594
50,shona-skirt,10564766138701,Shona Skirt,0.13,Low,no,668
51,hilary-dress,10566159991117,Hilary Φόρεμα,3.85,Hero,yes,14803
52,evelisse-limited,10652612165965,Evelisse LIMITED Φόρεμα,3.38,Hero,yes,11724
53,ariel-siren-dress-blue,10559049138509,Ariel Siren Φόρεμα γαλάζιο,3.05,Hero,yes,12733
54,marisa,10671661482317,Marisa Φόρεμα,2.86,Strong,yes,10471
55,helia-dress,10563090907469,Helia Φόρεμα,2.30,Strong,yes,9780
56,soraya,10643352158541,Soraya Φόρεμα,2.23,Strong,yes,7652
57,elise,10664056750413,Elise Φόρεμα,1.82,Strong,yes,7589
58,asteria-dress,10563094708557,Asteria Φόρεμα,1.79,Strong,yes,6985
59,phoebe-dress,10564863885645,Phoebe Φόρεμα,1.78,Strong,yes,7952
60,lydia,10714458063181,Lydia Κιμονό,1.75,Strong,yes,8163
61,thalina-dress-1,10559114215757,Thalina Φόρεμα,1.71,Strong,yes,4040
62,solenne,10644069187917,Solenne Φόρεμα,1.64,Strong,yes,7771
63,electra-dress,10584479564109,Electra Φόρεμα,1.56,Strong,yes,6501
64,astor-kimono,10566045172045,Astor Kimono,1.52,Strong,yes,6537
65,rayne-dress,10564896391501,Rayne Φόρεμα,1.45,Average,yes,6940
66,calyra-dress,10563075998029,Calyra Φόρεμα,1.44,Average,yes,5681
67,melina,10714445873485,Melina Κιμονό,1.34,Average,yes,5012
68,lea-dress,10566090916173,Lea Φόρεμα,1.33,Average,yes,4199
69,thalassa-limited,10657844953421,Thalassa LIMITED Φόρεμα,1.33,Average,yes,5539
70,coralia-dress,10566166413645,Coralia Φόρεμα,1.30,Average,yes,5274
71,norah-kimono,10566086492493,Norah Κιμονό,1.27,Average,yes,5492
72,copy-2,10588786295117,Linus Φόρεμα,1.24,Average,yes,6068
73,calypso-skirt-pink,10559200788813,Calypso Skirt Pink,1.21,Average,yes,4291
74,glowen-dress,10564884070733,Glowen Φόρεμα,1.18,Average,yes,4810
75,melin-dress,10566165102925,Melin Φόρεμα,1.10,Average,yes,4266
76,thalassa-dress,10563128525133,Thalassa Φόρεμα,1.04,Average,yes,3268
77,lilu-jumpsuit,10566207308109,Lilu Ολόσωμη φόρμα,1.04,Average,yes,4533
78,argenta-cape,10563227615565,Argenta Κάπα,1.03,Average,yes,4111
79,nerissa-kimono-blue,10559203049805,Nerissa Κιμονό μπλε,1.01,Average,yes,3085
80,ariel-siren-limited,10571427971405,Ariel Siren LIMITED Φόρεμα,1.00,Average,yes,3470
81,aria-kimono,10564825186637,Aria Κιμονό,0.97,Average,yes,4029
82,elyra-dress,10563404235085,Elyra Φόρεμα,0.97,Average,yes,3912
83,nai-dress,10563110994253,Nai Φόρεμα,0.97,Average,yes,4669
84,argenta-kimono,10563359539533,Argenta Κιμονό,0.97,Average,yes,3102
85,nola-jumpsuit,10566211600717,Nola Ολόσωμη φόρμα,0.96,Average,yes,4818
86,argenta-jumpsuit,10563172696397,Argenta Ολόσωμη φόρμα,0.95,Average,yes,3840
87,aegea-dress,10563131900237,Aegea Φόρεμα,0.94,Average,yes,4231
88,neta-top,10566385434957,Neta Τοπ,0.93,Average,yes,3741
89,eris-dress,10566174114125,Eris Φόρεμα,0.92,Average,yes,3586
90,s26-5048,10559098978637,Ariel Siren Φόρεμα ροζ,0.89,Average,yes,3979
91,aster-kimono,10559208358221,Aster Κιμονό,0.85,Average,yes,3754
92,cloe-dress,10566161531213,Cloe Φόρεμα,0.84,Average,yes,3186
93,thalia-dress,10563095920973,Thalia Φόρεμα,0.84,Average,yes,3106
94,elyra-cape,10563208315213,Elyra Κάπα,0.80,Average,yes,3260
95,oceane-jumpsuit,10563149726029,Oceane Ολόσωμη φόρμα,0.78,Average,yes,3272
96,kathy-dress,10566165856589,Kathy Φόρεμα,0.78,Average,yes,3403
97,monique-kimono,10566047891789,Monique Κιμονό,0.78,Average,yes,3169
98,patricia,10697411199309,Patricia Φόρεμα,0.77,Average,yes,3495
99,dore-dress,10564872208717,Dore Φόρεμα,0.70,Average,yes,3082
100,menda-dress,10566167626061,Menda Φόρεμα,0.69,Average,yes,3291
101,zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,0.67,Average,yes,2725
102,azalea-dress,10566201803085,Azalea Φόρεμα,0.63,Average,yes,2620
103,shona-kimono,10564823515469,Shona Κιμονό,0.60,Average,yes,2703
104,calypso-shirt-blue,10559144755533,Calypso Πουκάμισο γαλάζιο,0.57,Average,yes,1768
105,midas-dress,10566098714957,Midas Φόρεμα,0.54,Average,yes,2333
106,byron-dress,10566130303309,Byron Φόρεμα,0.53,Average,yes,2682
107,astra-dress,10566182437197,Astra Φόρεμα,0.52,Average,yes,1454
