position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
1,elodie-dress,10566138757453,Elodie Φόρεμα,9.92,Hero,no,38367
2,marbella-dress,10814110531917,Marbella Dress,4.42,Hero,no,6719
3,crystalia,10652663251277,Crystalia Φόρεμα,4.25,Hero,no,19946
4,sylvia,10714453999949,Sylvia Κιμονό,3.45,Hero,no,12882
5,victoria,10697115926861,Victoria Φόρεμα,3.36,Hero,no,17323
6,nerida,10710349381965,Nerida Φόρεμα,2.48,Strong,no,8969
7,sophia,10642032361805,Sophia Φόρεμα,2.41,Strong,no,12047
8,greta-dress,10566155960653,Greta Φόρεμα,2.33,Strong,no,9251
9,noelle,10786243215693,Noelle Φόρεμα,2.07,Strong,no,5265
10,rosalie-2,10786210480461,Rosalie Φόρεμα,1.83,Strong,no,4660
11,maeva-dress,10566112903501,Maeva Φόρεμα,1.52,Strong,no,3089
12,zoe-pants,10564703289677,Zoe Παντελόνα,1.32,Average,no,5365
13,livia-copy,10786186232141,Rose Ολόσωμη φόρμα,1.25,Average,no,3229
14,eve-copy,10670927511885,Selene Ολόσωμη φόρμα,1.13,Average,no,5395
15,auralis-kimono,10563066659149,Auralis Κιμονό,1.09,Average,no,4655
16,runa-top,10566035374413,Runa Τοπ,1.08,Average,no,5147
17,ione-2,10710363537741,Ione Φόρεμα,1.00,Average,no,5338
18,marceline,10786231877965,Marceline Φόρεμα,0.89,Average,no,2561
19,meria-dress,10563092447565,Meria Φόρεμα,0.65,Average,no,3030
20,margie-dress,10566101827917,Margie Φόρεμα,0.62,Average,no,2780
21,gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,0.59,Average,no,2809
22,eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,0.59,Average,no,2843
23,liberty-dress,10566102974797,Liberty Φόρεμα,0.58,Average,no,2042
24,livia-dress,10563406201165,Livia Φόρεμα,0.55,Average,no,2632
25,zale-dress,10563130229069,Zale Φόρεμα,0.54,Average,no,2833
26,myrtle-dress-1,10563103392077,Myrtle Φόρεμα,0.49,Low,no,2200
27,aria-skirt-1,10563312714061,Aria Skirt,0.49,Low,no,2041
28,sienna-copy,10697387508045,Patricia Τοπ,0.49,Low,no,2028
29,elyra-pants,10563246784845,Elyra Παντελόνα,0.48,Low,no,2146
30,elyra-top,10563231154509,Elyra Τοπ,0.45,Low,no,1849
31,moss-dress-1,10563105227085,Moss Φόρεμα,0.41,Low,no,1769
32,indira-skirt,10563304816973,Indira Skirt,0.35,Low,no,1345
33,aria-top-1,10563232760141,Aria Τοπ,0.31,Low,no,1141
34,elyra-body,10563024912717,Elyra Κορμάκι,0.29,Low,no,1066
35,zaria-top,10563046768973,Zaria Τοπ,0.26,Low,no,845
