collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
archive-sale,646609535309,ARCHIVE SALE,amira-shirt,10237807329613,Amira Πουκάμισο,4.13,Hero,no,2838,1
archive-sale,646609535309,ARCHIVE SALE,amari-dress,8669619781965,Amari Φόρεμα,2.87,Strong,no,1567,2
archive-sale,646609535309,ARCHIVE SALE,aeris-jumpsuit,10390642590029,Aeris Ολόσωμη φόρμα,2.68,Strong,no,1881,3
archive-sale,646609535309,ARCHIVE SALE,ember-skirt,10387831095629,Ember Φούστα,2.21,Strong,no,2068,4
archive-sale,646609535309,ARCHIVE SALE,harmonia-dress-1,10524729114957,Harmonia Φόρεμα,1.88,Strong,no,1766,5
archive-sale,646609535309,ARCHIVE SALE,lynn-ann-top,8669577445709,Lynn Ann Τοπ,1.77,Strong,no,1443,6
archive-sale,646609535309,ARCHIVE SALE,aurielle-dress,10525038674253,Aurielle Φόρεμα,1.65,Strong,no,1243,7
archive-sale,646609535309,ARCHIVE SALE,juliet-top,8151987355929,JULIET TOP,1.24,New,no,22,8
archive-sale,646609535309,ARCHIVE SALE,selira-dress,10338865250637,Selira Φόρεμα,1.23,Average,no,1353,9
archive-sale,646609535309,ARCHIVE SALE,perla-kimono-dress,6552814256227,Perla Kimono Dress,1.22,New,no,572,10
archive-sale,646609535309,ARCHIVE SALE,sage-bodysuit,8668340683085,Sage Κορμάκι,1.18,Average,no,608,11
archive-sale,646609535309,ARCHIVE SALE,ferina-dress,10338806268237,Ferina Φόρεμα,1.16,Average,no,1179,12
archive-sale,646609535309,ARCHIVE SALE,anwen-dress,10074215547213,Anwen Φόρεμα,1.13,Average,no,785,13
archive-sale,646609535309,ARCHIVE SALE,obsidian-dress,10388244529485,Obsidian Φόρεμα,1.03,Average,no,1083,14
archive-sale,646609535309,ARCHIVE SALE,floridita-skirt,4505870073955,FLORIDITA SKIRT,0.89,New,no,118,15
archive-sale,646609535309,ARCHIVE SALE,dolon-dress,9101691617613,Dolon Dress,0.89,New,no,86,16
archive-sale,646609535309,ARCHIVE SALE,arina-dress,6728686010467,ARINA DRESS,0.83,New,no,106,17
archive-sale,646609535309,ARCHIVE SALE,jessica-top,8155052146969,JESSICA TOP,0.82,New,no,117,18
archive-sale,646609535309,ARCHIVE SALE,luxe-dress,10388197507405,Luxe Φόρεμα,0.52,Average,no,391,19
archive-sale,646609535309,ARCHIVE SALE,lissara-skirt,10524680028493,Lissara Φούστα,0.47,Low,no,470,20
archive-sale,646609535309,ARCHIVE SALE,elaris-jacket,10361324011853,Elaris Ζακέτα,0.44,Low,no,415,21
archive-sale,646609535309,ARCHIVE SALE,veon-top,10355601867085,Veon Τοπ,0.27,Low,no,206,22
archive-sale,646609535309,ARCHIVE SALE,florelle-shirt,10524697297229,Florelle Πουκάμισο,0.22,Low,no,184,23
archive-sale,646609535309,ARCHIVE SALE,louisa-skirt,10007597187405,Louisa Skirt,0.11,Low,no,56,24
archive-sale,646609535309,ARCHIVE SALE,odette-yellow-top,10137725534541,Odette Yellow Top,0.11,Low,no,49,25
archive-sale,646609535309,ARCHIVE SALE,yvet-top,6730743185507,Yvet Τοπ,0.10,Low,no,34,26
archive-sale,646609535309,ARCHIVE SALE,cessna-top,10006232727885,Cessna Top,0.06,Low,no,25,27
archive-sale,646609535309,ARCHIVE SALE,penny-top,6730744660067,Penny Τοπ,0.06,Low,no,26,28
archive-sale,646609535309,ARCHIVE SALE,indra-dress-copy,10298905690445,Indra Brown Dress,5.12,Hero,yes,4301,29
archive-sale,646609535309,ARCHIVE SALE,ayla-jumpsuit,10248692302157,Ayla Jumpsuit,4.74,Hero,yes,5121,30
archive-sale,646609535309,ARCHIVE SALE,elva-kimono,10243863937357,Elva Κιμονό φόρεμα,4.24,Hero,yes,3166,31
archive-sale,646609535309,ARCHIVE SALE,tata-kimono-dress,9845707440461,Tata  Φόρεμα,3.71,Hero,yes,1894,32
archive-sale,646609535309,ARCHIVE SALE,alba-pants,10248741912909,Alba Παντελόνα,2.62,Strong,yes,2714,33
archive-sale,646609535309,ARCHIVE SALE,luvora-dress,10525019046221,Luvora Φόρεμα,1.64,Strong,yes,1225,34
archive-sale,646609535309,ARCHIVE SALE,nyra-jumpsuit,10390639116621,Nyra Jumpsuit,1.23,Average,yes,1263,35
archive-sale,646609535309,ARCHIVE SALE,isebel-dress,10361722929485,Isebel Φόρεμα,1.20,Average,yes,805,36
archive-sale,646609535309,ARCHIVE SALE,tiana-top,8585609249101,TIANA TOP,1.16,New,yes,31,37
archive-sale,646609535309,ARCHIVE SALE,cassidy-skirt,8669604151629,Cassidy Φούστα,1.10,Average,yes,950,38
archive-sale,646609535309,ARCHIVE SALE,bindi-dress,8935675756877,Bindi Dress,0.95,New,yes,540,39
archive-sale,646609535309,ARCHIVE SALE,auralis-dress,10525164896589,Auralis Πουκάμισο,0.92,Average,yes,571,40
archive-sale,646609535309,ARCHIVE SALE,lottie-skirt,10222371340621,Lottie Skirt,0.91,New,yes,79,41
archive-sale,646609535309,ARCHIVE SALE,ivoria-dress,10332606890317,Ivoria Φόρεμα,0.87,Average,yes,625,42
archive-sale,646609535309,ARCHIVE SALE,gloria-dress,8171401183513,Gloria Dress,0.80,New,yes,124,43
archive-sale,646609535309,ARCHIVE SALE,lina-skirt,10238244094285,Lina Φούστα,0.77,Average,yes,601,44
archive-sale,646609535309,ARCHIVE SALE,angelica-dress,6552849907811,Angelica Dress,0.75,New,yes,192,45
archive-sale,646609535309,ARCHIVE SALE,amara-skirt,10238252286285,Amara Φούστα,0.74,Average,yes,669,46
archive-sale,646609535309,ARCHIVE SALE,vionae-dress,10336362463565,Vionae Κιμονό φόρεμα,0.65,Average,yes,775,47
archive-sale,646609535309,ARCHIVE SALE,iliana-dress,10248477278541,Iliana Dress,0.57,Average,yes,295,48
archive-sale,646609535309,ARCHIVE SALE,carmine-dress,10074213515597,Carmine Φόρεμα,0.55,Average,yes,525,49
archive-sale,646609535309,ARCHIVE SALE,lyra-top,10237854777677,Lyra Τοπ,0.52,Average,yes,437,50
archive-sale,646609535309,ARCHIVE SALE,ethera-dress,10525047095629,Ethera Φόρεμα,0.50,Average,yes,522,51
archive-sale,646609535309,ARCHIVE SALE,vanetta-skirt,10074164396365,Vanetta Φούστα,0.42,Low,yes,134,52
archive-sale,646609535309,ARCHIVE SALE,lumina-dress,10523384611149,Lumina Dress,0.38,Low,yes,225,53
archive-sale,646609535309,ARCHIVE SALE,lilliana-skirt,8162775630105,LILLIANA SKIRT,0.35,Low,yes,182,54
archive-sale,646609535309,ARCHIVE SALE,odile-top,10007641030989,Odile Top,0.34,Low,yes,295,55
archive-sale,646609535309,ARCHIVE SALE,silvara-dress,10523483111757,Silvara Φόρεμα,0.33,Low,yes,378,56
archive-sale,646609535309,ARCHIVE SALE,lissara-dress,10525170172237,Lissara Πουκάμισο,0.26,Low,yes,212,57
archive-sale,646609535309,ARCHIVE SALE,venira-top,10336546980173,Venira Τοπ,0.22,Low,yes,185,58
archive-sale,646609535309,ARCHIVE SALE,odette-orange-skirt,10074174619981,Odette Orange Skirt,0.21,Low,yes,82,59
archive-sale,646609535309,ARCHIVE SALE,copy-copy-42,10307851714893,Sylairra Φόρεμα,0.18,Low,yes,199,60
archive-sale,646609535309,ARCHIVE SALE,odile-skirt,10007663804749,Odile Skirt,0.15,Low,yes,92,61
archive-sale,646609535309,ARCHIVE SALE,reina-dress,6552844959843,Reina Dress,0.14,Low,yes,69,62
archive-sale,646609535309,ARCHIVE SALE,opaline-dress,10524577136973,Opaline Φόρεμα,0.12,Low,yes,141,63
archive-sale,646609535309,ARCHIVE SALE,janah-skirt,6728673165411,Janah Skirt,0.03,Low,yes,15,64
dresses-wedding,640397836621,Dresses Wedding,indra-dress-copy,10298905690445,Indra Brown Dress,1.71,Strong,yes,4301,1
dresses-wedding,640397836621,Dresses Wedding,iliana-dress,10248477278541,Iliana Dress,0.29,Low,yes,295,2
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,naia-dress,10834002870605,Naia Dress,5.49,New,no,4271,1
