handle,product_id,title,main_collection,main_collection_title,popularity_ratio,merch_tier,popularity_trend,age_status,rank_in_main_collection,sold_out,views_90d,add_to_cart,purchased,popularity_updated,url
stella,10718851137869,Domna Τοπ,ss26-sirens-tops,Sirens · Tops,7.94,Hero,Rising,Established,1,yes,21290,522,30,2026-09-23,https://myacollection.com/products/stella
elodie-dress,10566138757453,Elodie Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,6.66,Hero,Rising,Established,1,no,38367,976,74,2026-09-23,https://myacollection.com/products/elodie-dress
marbella-dress,10814110531917,Marbella Dress,ss26-sirens,Sirens SS26,5.15,Hero,New,Ramping,2,no,6719,92,1,2026-09-23,https://myacollection.com/products/marbella-dress
indra-dress-copy,10298905690445,Indra Brown Dress,archive-sale,Archive Sale,5.12,Hero,Steady,Established,1,yes,4301,6,1,2026-09-23,https://myacollection.com/products/indra-dress-copy
ayla-jumpsuit,10248692302157,Ayla Jumpsuit,archive-sale,Archive Sale,4.74,Hero,Steady,Established,2,yes,5121,0,0,2026-09-23,https://myacollection.com/products/ayla-jumpsuit
naia-dress,10834002870605,Naia Dress,peonies-dress,Peonies · Dresses,4.39,New,New,New,1,no,4271,93,20,2026-09-23,https://myacollection.com/products/naia-dress
daria-limited,10833962598733,Daria LIMITED,peonies-dress,Peonies · Dresses,4.27,New,New,New,2,no,2488,55,7,2026-09-23,https://myacollection.com/products/daria-limited
elva-kimono,10243863937357,Elva Κιμονό φόρεμα,archive-sale,Archive Sale,4.24,Hero,Fading,Established,3,yes,3166,0,0,2026-09-23,https://myacollection.com/products/elva-kimono
amira-shirt,10237807329613,Amira Πουκάμισο,archive-sale,Archive Sale,4.13,Hero,Rising,Established,4,no,2838,95,1,2026-09-23,https://myacollection.com/products/amira-shirt
sylvia,10714453999949,Sylvia Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,3.96,Hero,Rising,Established,1,no,12882,471,37,2026-09-23,https://myacollection.com/products/sylvia
belisse-limited,10833955914061,Belisse LIMITED,peonies-dress,Peonies · Dresses,3.76,New,New,New,3,no,2857,26,2,2026-09-23,https://myacollection.com/products/belisse-limited
coco,10730619339085,Coco Τοπ,ss26-sirens-tops,Sirens · Tops,3.73,Hero,New,Ramping,2,yes,6010,480,24,2026-09-23,https://myacollection.com/products/coco
tata-kimono-dress,9845707440461,Tata  Φόρεμα,archive-sale,Archive Sale,3.71,Hero,Rising,Established,5,yes,1894,31,1,2026-09-23,https://myacollection.com/products/tata-kimono-dress
empress-top,10073195905357,Empress Top,ss26-sirens-tops,Sirens · Tops,3.67,Hero,New,Ramping,3,yes,6484,300,19,2026-09-23,https://myacollection.com/products/empress-top
dioni,10730727440717,Dioni Φόρεμα,ss26-sirens,Sirens SS26,3.63,Hero,New,Ramping,8,yes,10720,158,7,2026-09-23,https://myacollection.com/products/dioni
olena-dress,10834006475085,Olena Dress,peonies-dress,Peonies · Dresses,3.60,New,New,New,4,no,3256,82,24,2026-09-23,https://myacollection.com/products/olena-dress
